"","ResponseId","variable","value"
"1","R_2pLIblmgExWFXay","email_timing",1
"2","R_26g0N63QF12dimd","email_timing",0
"3","R_1lrz3yAbv2z1ma8","email_timing",0
"4","R_3JwQoEQQMpod4Tv","email_timing",1
"5","R_2Vsfaw75TlzKn1Y","email_timing",0
"6","R_2rU56zYc3qBh9J6","email_timing",0
"7","R_3PoboB0JtJQ7LCu","email_timing",0
"8","R_1qgkzp5XCzNYeuR","email_timing",1
"9","R_3QPHtO8svWiJyiY","email_timing",0
"10","R_26rhaTxhqgTGvjr","email_timing",0
"11","R_3eq9yf1mL6XY3w6","email_timing",1
"12","R_sZLJ48DqHZrl9kJ","email_timing",0
"13","R_Oj8CSPcOn3QKZtD","email_timing",0
"14","R_27PD6QcIIuhoklU","email_timing",1
"15","R_3j07DoZzRrNFfU9","email_timing",1
"16","R_3KISBvACOeRn0Yk","email_timing",0
"17","R_A7myoFOuBy1e9r3","email_timing",0
"18","R_3PvllMlguAlkQTX","email_timing",0
"19","R_31Wye3iSGTGIMVI","email_timing",0
"20","R_xbjpjdpF5Bb8LND","email_timing",0
"21","R_1l4xOkC08uP82Yj","email_timing",0
"22","R_2YJnYeaQbKIA3Xf","email_timing",1
"23","R_30l8GXXe643f6VR","email_timing",1
"24","R_12RuEHmJuRAiI1f","email_timing",0
"25","R_2EoyFEdGZiiiewX","email_timing",1
"26","R_21udBl9leEgYvB8","email_timing",0
"27","R_3g71JMXXwft3ZGy","email_timing",0
"28","R_2wsibzWUKK0XDaK","email_timing",0
"29","R_PMuAh1NtrALIhEd","email_timing",1
"30","R_Bt6CJCnO6o2uDoR","email_timing",1
"31","R_1YXbjjKp2mdlM0F","email_timing",0
"32","R_bw5VETE789cN3I5","email_timing",1
"33","R_12ijIiieoxUfBkc","email_timing",0
"34","R_1eG1zvHVDUudCJG","email_timing",0
"35","R_1Os0zbpvU5P36TU","email_timing",0
"36","R_1BW8rt80aFRcuI0","email_timing",1
"37","R_1r36USBz847yWQB","email_timing",1
"38","R_eldVqg22w8Ck6TD","email_timing",0
"39","R_5drrJ8DzGH43N7j","email_timing",1
"40","R_1kYv7u4Q2Ubrqv5","email_timing",0
"41","R_0Mncfj7e6vW02NH","email_timing",1
"42","R_3DiuE4UVpcjyMHV","email_timing",1
"43","R_3y3zmDciaqjVz4B","email_timing",0
"44","R_1jJTR4wNg7YVLU8","email_timing",0
"45","R_3FPtyw4w79pD6Hf","email_timing",1
"46","R_8Jlv9rnqFuovBnz","email_timing",1
"47","R_2dSWDf5thqwCQTn","email_timing",0
"48","R_1EgJPhKacNEFxQA","email_timing",1
"49","R_3Hv52OlstB5QNnt","email_timing",0
"50","R_3J43aO0pzWFKH1Z","email_timing",1
"51","R_2XcD1S7kRYsjMeP","email_timing",1
"52","R_27yzixhu1m96yUt","email_timing",0
"53","R_1pFgdgYZIi2ZgsG","email_timing",1
"54","R_3hbdx2OqSK4tsrk","email_timing",1
"55","R_2TtnYG7drNcxtQN","email_timing",1
"56","R_2viGHZTlphJAQmS","email_timing",1
"57","R_2Xh2R0ucq2oixyd","email_timing",1
"58","R_1DuHV0VogZgKTOl","email_timing",1
"59","R_33jwcvNqJRfPNty","email_timing",0
"60","R_1cUDUi7Dxb9YR7R","email_timing",0
"61","R_2zdzA6VlBtWING8","email_timing",1
"62","R_1nPhsOSPDgCzgh6","email_timing",0
"63","R_3njCPcgrh12xuNw","email_timing",1
"64","R_2PgLvCThbmlFsIr","email_timing",1
"65","R_8ib3wZsjCyiZMzv","email_timing",0
"66","R_WAtIRMFY2KMoXL3","email_timing",0
"67","R_2ZEWBUc2qnhRaa6","email_timing",1
"68","R_2A0xUgKDbrnwr1r","email_timing",0
"69","R_1hyGmHKpnGnDiap","email_timing",0
"70","R_wMfK2Ik3jtzSrnP","email_timing",0
"71","R_3p3Gcrnd7WuJ0DY","email_timing",0
"72","R_3314ItInwb829md","email_timing",0
"73","R_3hA56B82RpMX8eN","email_timing",1
"74","R_3QXgq80PZW5yM6O","email_timing",0
"75","R_1QlpnAdkw2LpHeC","email_timing",0
"76","R_1exZLDs8oCNSpIM","email_timing",1
"77","R_3fCS4JprvxNDAK6","email_timing",1
"78","R_1jqd8tWAkg73k16","email_timing",1
"79","R_3MiCK8tRsw0V8ir","email_timing",0
"80","R_27rFtLibSiFEIVR","email_timing",1
"81","R_3Rykt7hRcZVWv3e","email_timing",1
"82","R_C1di4VFON4I7OSJ","email_timing",0
"83","R_3QRE6Tw3DWAtm56","email_timing",0
"84","R_2ByucnPpjfx6x8E","email_timing",1
"85","R_vYtXv3CTFjDbPxf","email_timing",0
"86","R_8iSofOu6WQVuSbL","email_timing",0
"87","R_2PhPB9R377VGuQj","email_timing",0
"88","R_31KuxfPmslgndZ0","email_timing",0
"89","R_RCtEvyRIhEnQbW9","email_timing",1
"90","R_3qg68ViG7vnYipm","email_timing",0
"91","R_3NCjzFiF0JK2GqL","email_timing",1
"92","R_T7q6MgHUwdup2Ex","email_timing",0
"93","R_TdgisIgBfROVuwx","email_timing",0
"94","R_2bIQ1TN6IeWvnkP","email_timing",0
"95","R_2Cmrh1Njuk9TKK2","email_timing",0
"96","R_2TBlvgMGsQ8YLxX","email_timing",0
"97","R_BWI2tr4re5G9yp3","email_timing",0
"98","R_3PXo429RzNXqibr","email_timing",0
"99","R_1Ic3tDcTLwrXWp7","email_timing",0
"100","R_O0Bo2mNm3iOdfEJ","email_timing",0
"101","R_3n9hYgeRFmMhfpO","email_timing",1
"102","R_x3k1qr68EmjFvUt","email_timing",1
"103","R_XupexIguaPw9ocN","email_timing",1
"104","R_3Kx5tsjFi6RIqB3","email_timing",0
"105","R_ZmWgQLngjFiOwaR","email_timing",0
"106","R_1mW6KZ42igeLXGS","email_timing",1
"107","R_DTuLKbjCvuhWOdz","email_timing",1
"108","R_3IbpMtbwGyVxpGg","email_timing",0
"109","R_1opTCOOpsI4AcCd","email_timing",0
"110","R_2EhMbBl3fWHUkFh","email_timing",0
"111","R_2zZ3ixid2sVrgzr","email_timing",1
"112","R_2f2nuC87mnJja0X","email_timing",1
"113","R_3rZN9sb2Y6YiX8k","email_timing",1
"114","R_1in9Hr8KDzRc6dc","email_timing",0
"115","R_2qDhEzrUCPZT8TO","email_timing",0
"116","R_RlgFJ3AuHQqSR1f","email_timing",1
"117","R_qwvkXru4VyxMpCF","email_timing",0
"118","R_2EiVbozpWaQF6TS","email_timing",1
"119","R_23uNXL1lEuiK2IN","email_timing",0
"120","R_yvZyF9pWs7UPzjz","email_timing",1
"121","R_2TUaPjFshRv47Ui","email_timing",1
"122","R_2QhdcqlCf7KqdFR","email_timing",1
"123","R_3MsNjm1CLc8laF0","email_timing",1
"124","R_T2h0RVB5sxDFWsp","email_timing",0
"125","R_3iVvIsisZSGYhIz","email_timing",0
"126","R_djqlb78tkCyuPPX","email_timing",0
"127","R_1r6cCPsp91fLiYl","email_timing",1
"128","R_pLcVPPE5yXMsTQt","email_timing",0
"129","R_2EgAiQnt6PBcXmJ","email_timing",1
"130","R_2aA1itN9JcQO9Tj","email_timing",0
"131","R_2qDgbsOTMVr6FmZ","email_timing",1
"132","R_1rpOYotxCL2eEuM","email_timing",1
"133","R_3FXz56E0LAJcLJT","email_timing",0
"134","R_3PB68V4Xa59fSDh","email_timing",1
"135","R_eLGGXP9DFZ9jPPj","email_timing",0
"136","R_1hZiHX8a51KTXgi","email_timing",1
