"","ResponseId","email_timing","email","Q1","Q2","Q3","Q5","Q6","Q7","Q9","Q10","Q11","Q13","Q14","Q15","Q16","Q18","Q19","Q20"
"1","R_0Mncfj7e6vW02NH",1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1
"2","R_0OH5sQxqrgIL2y5",0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1
"3","R_0pT6XLgISuPCscV",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"4","R_0v97gnB46xEb52V",0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
"5","R_10U7kkjxsc34qt3",0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"6","R_11XdcVl9Zi6bQwD",0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
"7","R_12RuEHmJuRAiI1f",0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1
"8","R_12ijIiieoxUfBkc",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"9","R_1BQ7d0lZZW8UF5J",1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1
"10","R_1BW8rt80aFRcuI0",1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1
"11","R_1CDEfk5NinCoduf",0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0
"12","R_1CvgJa42gKvrL7C",0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1
"13","R_1DuHV0VogZgKTOl",1,1,0,0,NA,0,1,1,0,1,1,0,1,0,1,1,0,0
"14","R_1EgJPhKacNEFxQA",1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0
"15","R_1FLqpLydG4xO69y",1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1
"16","R_1Fy8wduWntavLjo",0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0
"17","R_1Hdi6XYWMCLkTYW",1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0
"18","R_1Ic3tDcTLwrXWp7",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"19","R_1LSj0aTEYWiLupD",1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1
"20","R_1Ldsu5dkUTQxHNH",0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1
"21","R_1LogH1nuUDXVEk1",0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0
"22","R_1Nx1e8AQwPnSZ0c",1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
"23","R_1OVTDt73rUhORrg",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"24","R_1Os0zbpvU5P36TU",0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
"25","R_1QH027RHAFCTuZP",1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
"26","R_1QlpnAdkw2LpHeC",0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"27","R_1YXbjjKp2mdlM0F",0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0
"28","R_1cS8MsCEDJx4IzC",0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0
"29","R_1cUDUi7Dxb9YR7R",0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0
"30","R_1cUkPItQvQeDA8F",0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
"31","R_1ddbQba0d2GrLL6",0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1
"32","R_1eCzEpXa5CiGzUl",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"33","R_1eG1zvHVDUudCJG",0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0
"34","R_1eQ0rtDHTdKvzyF",1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0
"35","R_1exZLDs8oCNSpIM",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"36","R_1g6lewwpLGC4bTd",1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
"37","R_1gHfS5ItwkJ39rz",0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
"38","R_1gjrlK0tnkTgV5P",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"39","R_1hZiHX8a51KTXgi",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"40","R_1hyGmHKpnGnDiap",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"41","R_1i5ye44le3y7EqS",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"42","R_1in9Hr8KDzRc6dc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","R_1jHX1KwUHTpUopF",0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1
